
---------- Begin Simulation Statistics ----------
simSeconds                                   0.141526                       # Number of seconds simulated (Second)
simTicks                                 141525897000                       # Number of ticks simulated (Tick)
finalTick                                141525897000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    306.94                       # Real time elapsed on the host (Second)
hostTickRate                                461079651                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     676544                       # Number of bytes of host memory used (Byte)
simInsts                                    288445808                       # Number of instructions simulated (Count)
simOps                                      288445808                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   939732                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     939732                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        141525898                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.490650                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.038113                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       339059075                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    51555                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      327001491                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 104853                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             50664821                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          20957154                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   3                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           141506508                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.310858                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.996979                       # Number of insts issued each cycle (Count)
system.cpu.commitStats0.committedInstType::SimdFloatMatMultAcc            0      0.00%     74.12% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatSqrt            0      0.00%     74.12% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdReduceAdd            0      0.00%     74.12% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdReduceAlu            0      0.00%     74.12% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdReduceCmp            0      0.00%     74.12% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatReduceAdd            0      0.00%     74.12% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatReduceCmp            0      0.00%     74.12% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdAes            0      0.00%     74.12% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdAesMix            0      0.00%     74.12% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdSha1Hash            0      0.00%     74.12% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdSha1Hash2            0      0.00%     74.12% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdSha256Hash            0      0.00%     74.12% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdSha256Hash2            0      0.00%     74.12% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdShaSigma2            0      0.00%     74.12% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdShaSigma3            0      0.00%     74.12% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdSha3            0      0.00%     74.12% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdSm4e            0      0.00%     74.12% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdCrc            0      0.00%     74.12% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdPredAlu            0      0.00%     74.12% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdDotProd            0      0.00%     74.12% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::Matrix            0      0.00%     74.12% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::MatrixMov            0      0.00%     74.12% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::MatrixOP            0      0.00%     74.12% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::MemRead     37060932     12.85%     86.97% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::MemWrite     27044075      9.38%     96.35% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::FloatMemRead      8460735      2.93%     99.28% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::FloatMemWrite      2077133      0.72%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::InstPrefetch            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdUnitStrideLoad            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdUnitStrideStore            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdUnitStrideMaskLoad            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdUnitStrideMaskStore            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdStridedLoad            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdStridedStore            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdIndexedLoad            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdIndexedStore            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdWholeRegisterLoad            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdWholeRegisterStore            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdUnitStrideFaultOnlyFirstLoad            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdUnitStrideSegmentedLoad            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdUnitStrideSegmentedStore            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdUnitStrideSegmentedFaultOnlyFirstLoad            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdStrideSegmentedLoad            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdStrideSegmentedStore            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdExt            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatExt            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdConfig            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdBf16Add            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdBf16Cmp            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdBf16Cvt            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdBf16DotProd            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdBf16MatMultAcc            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdBf16Mult            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdBf16MultAcc            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::Bf16Cvt            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::System            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::total    288445808                       # Class of committed instruction. (Count)
system.cpu.commitStats0.committedControl::IsControl     54669695                       # Class of control type instructions committed (Count)
system.cpu.commitStats0.committedControl::IsDirectControl     48762303                       # Class of control type instructions committed (Count)
system.cpu.commitStats0.committedControl::IsIndirectControl      5907392                       # Class of control type instructions committed (Count)
system.cpu.commitStats0.committedControl::IsCondControl     39588560                       # Class of control type instructions committed (Count)
system.cpu.commitStats0.committedControl::IsUncondControl     15081135                       # Class of control type instructions committed (Count)
system.cpu.commitStats0.committedControl::IsCall      2894832                       # Class of control type instructions committed (Count)
system.cpu.commitStats0.committedControl::IsReturn      2894835                       # Class of control type instructions committed (Count)
system.cpu.commitStats0.functionCalls         2894832                       # Number of function calls committed (Count)
system.cpu.commitStats0.numCallsReturns       5789667                       # Number of function calls and returns committed (Count)
system.cpu.dcache.demandHits::cpu.data       68754441                       # number of demand (read+write) hits (Count)
system.cpu.dcache.demandHits::total          68754441                       # number of demand (read+write) hits (Count)
system.cpu.dcache.overallHits::cpu.data      68754441                       # number of overall hits (Count)
system.cpu.dcache.overallHits::total         68754441                       # number of overall hits (Count)
system.cpu.dcache.demandMisses::cpu.data       748620                       # number of demand (read+write) misses (Count)
system.cpu.dcache.demandMisses::total          748620                       # number of demand (read+write) misses (Count)
system.cpu.dcache.overallMisses::cpu.data       748620                       # number of overall misses (Count)
system.cpu.dcache.overallMisses::total         748620                       # number of overall misses (Count)
system.cpu.dcache.demandMissLatency::cpu.data  22120154954                       # number of demand (read+write) miss ticks (Tick)
system.cpu.dcache.demandMissLatency::total  22120154954                       # number of demand (read+write) miss ticks (Tick)
system.cpu.dcache.overallMissLatency::cpu.data  22120154954                       # number of overall miss ticks (Tick)
system.cpu.dcache.overallMissLatency::total  22120154954                       # number of overall miss ticks (Tick)
system.cpu.dcache.demandAccesses::cpu.data     69503061                       # number of demand (read+write) accesses (Count)
system.cpu.dcache.demandAccesses::total      69503061                       # number of demand (read+write) accesses (Count)
system.cpu.dcache.overallAccesses::cpu.data     69503061                       # number of overall (read+write) accesses (Count)
system.cpu.dcache.overallAccesses::total     69503061                       # number of overall (read+write) accesses (Count)
system.cpu.dcache.demandMissRate::cpu.data     0.010771                       # miss rate for demand accesses (Ratio)
system.cpu.dcache.demandMissRate::total      0.010771                       # miss rate for demand accesses (Ratio)
system.cpu.dcache.overallMissRate::cpu.data     0.010771                       # miss rate for overall accesses (Ratio)
system.cpu.dcache.overallMissRate::total     0.010771                       # miss rate for overall accesses (Ratio)
system.cpu.dcache.demandAvgMissLatency::cpu.data 29547.908090                       # average overall miss latency in ticks ((Tick/Count))
system.cpu.dcache.demandAvgMissLatency::total 29547.908090                       # average overall miss latency in ticks ((Tick/Count))
system.cpu.dcache.overallAvgMissLatency::cpu.data 29547.908090                       # average overall miss latency ((Tick/Count))
